	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	I_Samuel	II_Samuel	I_Kings	II_Kings	Isaiah	Jeremiah	Ezekiel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Psalms	Job	Proverbs	Ruth	Canticles	Ecclesiastes	Lamentations	Esther	Daniel	Ezra	Nehemiah	I_Chronicles	II_Chronicles
אב	27.8	3.31	4.76	11.6	13.4	9.61	17.3	12.9	7.62	18.7	15.6	3.08	7.94	3.21	1.14	2.3	2.7	0	0	3.59	0	0	0	0	5.78	23	2.25	2.94	7.77	8.38	1.58	0	2.94	2.27	6.95	9.1	8.65	25.4	22
אבדנ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0
אבל	0.534	0	0	0	0.189	0	0	0.243	0.817	0	0	0.294	0.378	0.119	0	0	4.05	0	0	1.8	0	0	0	0	0	0	0	0.294	0	0	0	1.54	1.47	1.51	1.16	0	0	0	0
אגרת	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51	0	0	2.6	0	0.364
אורה	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119	0	0	0	0	0	0	0.755	0	0	0	0	0
אח	23.8	2.34	4.38	2.58	9.08	3.57	8.81	2.92	9.25	2.16	1.13	1.03	2.39	1.07	3.42	2.3	2.7	17.4	0	3.59	0	0	0	3.91	1.65	6.58	0.83	2.65	2.69	5.59	1.58	0.769	0	0.755	0	6.82	12.1	23.8	4.73
אחד	6.28	13.6	9.33	24.3	4.92	16.5	8.2	10.5	9.53	12.4	7.47	2.94	1.76	12.7	1.14	0	6.76	8.7	4.55	0	0	0	2.99	11.7	10.7	13.2	1.07	4.12	0.598	5.59	6.31	14.6	0	3.78	7.34	6.82	4.76	3.12	5.28
אחר	11.4	3.86	4.76	3.94	5.86	11	12.8	12.9	16.1	11	7.02	1.47	6.8	2.98	7.99	11.5	4.05	0	0	0	0	0	2.99	0	3.3	0	1.07	4.41	1.79	25.1	3.15	6.15	0	1.51	1.93	2.27	10.8	3.6	5.46
אחשׁדרפנימ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27	0	0.569	0	0	0
אי	0.134	0	0	0	0	0	0	0	0	0	0	2.79	0.63	1.07	0	0	0	0	0	0	0	0	2.99	0	0	0	0.237	0	0	0	0	0	0	0.755	0.386	0	0	0	0
אינ	4.94	3.03	4	2.58	5.68	1.37	8.2	8.02	4.08	4.92	4.53	13.5	11.2	2.86	17.1	6.9	6.76	8.7	0	10.8	26.3	10.5	8.96	19.5	3.3	19.7	7.95	10.9	11.4	2.79	7.89	33.8	16.2	7.55	3.48	2.27	4.76	2.16	4.55
