chapter	masc_f	fem_f	fem_masc_r
Genesis 1	22.9	5.2	0.227
Genesis 2	19.2	6.48	0.337
Genesis 3	20.6	9.02	0.437
Genesis 4	32	11	0.345
Genesis 5	36.6	17.9	0.489
Genesis 6	22.7	8.7	0.384
Genesis 7	18.8	10.7	0.568
Genesis 8	16.7	8.94	0.537
Genesis 9	19.9	6.76	0.34
Genesis 10	22	4.45	0.202
Genesis 11	32.8	12.9	0.394
Genesis 12	20.4	9.42	0.462
Genesis 13	22.3	1.45	0.0649
Genesis 14	22.9	3.28	0.143
Genesis 15	21.3	5.25	0.247
Genesis 16	18.8	19.9	1.05
Genesis 17	22.2	8.18	0.368
Genesis 18	23.9	6.58	0.275
Genesis 19	20.1	7.3	0.364
Genesis 20	23.4	10.4	0.443
Genesis 21	23.2	10.8	0.464
Genesis 22	27.3	4.1	0.15
Genesis 23	26.5	6.43	0.242
Genesis 24	21	10.3	0.491
Genesis 25	33	9.26	0.28
Genesis 26	26.2	7.62	0.291
Genesis 27	28	6.02	0.215
Genesis 28	27	5.84	0.217
Genesis 29	20.8	14.3	0.687
Genesis 30	20.1	14.5	0.722
Genesis 31	26.5	6.01	0.227
Genesis 32	27.9	4.5	0.161
Genesis 33	24.1	6.68	0.278
Genesis 34	20.7	8.08	0.39
Genesis 35	24	9.72	0.405
Genesis 36	36.4	9.62	0.265
Genesis 37	26.2	5.74	0.219
Genesis 38	20	13.3	0.667
Genesis 39	22.5	4.22	0.188
Genesis 40	22.4	2.97	0.133
Genesis 41	18.4	9.45	0.515
Genesis 42	25.8	3.25	0.126
Genesis 43	20.7	3.74	0.181
Genesis 44	21.2	2.75	0.13
Genesis 45	24.8	4.25	0.172
Genesis 46	31.6	6.07	0.192
Genesis 47	20.6	5.67	0.275
Genesis 48	24	2.92	0.122
Genesis 49	22.4	9.34	0.417
Genesis 50	27.9	2.59	0.0929
Exodus 1	19.5	11.2	0.574
Exodus 2	19.4	14.5	0.747
Exodus 3	23.9	4.04	0.169
Exodus 4	29.1	2.82	0.0968
Exodus 5	28.1	1.81	0.0645
Exodus 6	30.1	8.04	0.267
Exodus 7	26.6	2.81	0.106
Exodus 8	25.6	3.48	0.136
Exodus 9	21.6	3.8	0.176
Exodus 10	25.6	3.01	0.118
Exodus 11	19.6	4.68	0.239
Exodus 12	19.4	6.67	0.344
Exodus 13	21.7	4.69	0.216
Exodus 14	24.2	2.49	0.103
Exodus 15	27	7.62	0.282
Exodus 16	22.8	5.15	0.226
Exodus 17	28.4	1.69	0.0594
Exodus 18	30.7	3.14	0.102
Exodus 19	26.6	1.85	0.0694
Exodus 20	24.5	5	0.204
Exodus 21	22.6	6.37	0.281
Exodus 22	23.3	7.56	0.324
Exodus 23	22.3	5.38	0.242
Exodus 24	30.7	2.67	0.087
Exodus 25	19.2	13.8	0.719
Exodus 26	18	18	1
Exodus 27	21.3	17.9	0.838
Exodus 28	19.5	12.4	0.637
Exodus 29	20	5.21	0.26
Exodus 30	21.7	11.4	0.525
Exodus 31	15.4	9.88	0.642
Exodus 32	27.5	4.45	0.162
Exodus 33	22.4	0.605	0.027
Exodus 34	27.3	4.34	0.159
Exodus 35	18.2	10.5	0.575
Exodus 36	19.4	17.2	0.886
Exodus 37	18.6	15.1	0.811
Exodus 38	19.9	14.7	0.74
Exodus 39	17.3	12.1	0.698
Exodus 40	21.1	4.62	0.219
Leviticus 1	19.8	3.3	0.167
Leviticus 2	19.5	13.8	0.709
Leviticus 3	16.7	5.93	0.356
Leviticus 4	16.9	8.86	0.523
Leviticus 5	19.2	11.9	0.621
Leviticus 6	19.8	13.3	0.671
Leviticus 7	17.9	11.2	0.625
Leviticus 8	23.4	5.6	0.24
Leviticus 9	23.3	6.51	0.28
Leviticus 10	28.9	6.52	0.226
Leviticus 11	18	9.28	0.516
Leviticus 12	14.6	23.2	1.58
Leviticus 13	13.3	10.8	0.809
Leviticus 14	15.3	8.15	0.533
Leviticus 15	23.2	9.88	0.426
Leviticus 16	20.2	7.22	0.357
Leviticus 17	20.3	3.65	0.179
Leviticus 18	16.9	21.8	1.29
Leviticus 19	25.4	7.53	0.297
Leviticus 20	18.7	10.8	0.579
Leviticus 21	24.7	7.97	0.323
Leviticus 22	22.7	6.14	0.271
Leviticus 23	21.1	11.8	0.557
Leviticus 24	22.2	7.75	0.349
Leviticus 25	20.2	11.7	0.578
Leviticus 26	15.1	8.79	0.581
Leviticus 27	20.5	7.44	0.364
Numbers 1	20.4	14.2	0.695
Numbers 2	22.7	10.5	0.464
Numbers 3	24.9	8.6	0.346
Numbers 4	18.4	11	0.6
Numbers 5	18.9	14.1	0.748
Numbers 6	21.9	8.18	0.374
Numbers 7	19.4	17.4	0.901
Numbers 8	26.7	7.11	0.267
Numbers 9	21.2	3.5	0.165
Numbers 10	27.6	6.99	0.253
Numbers 11	22.6	3.28	0.145
Numbers 12	22.9	10.9	0.476
Numbers 13	22.5	4.36	0.194
Numbers 14	23	4.42	0.192
Numbers 15	20.5	10.4	0.507
Numbers 16	27.7	7.62	0.275
Numbers 17	26.6	7.18	0.27
Numbers 18	20.3	7.94	0.392
Numbers 19	20.5	7.72	0.376
Numbers 20	24.8	3.23	0.13
Numbers 21	20.2	3.52	0.174
Numbers 22	26.7	2.5	0.0936
Numbers 23	31.8	4.21	0.133
Numbers 24	31.1	4.13	0.133
Numbers 25	24.7	9.38	0.38
Numbers 26	23.1	16.2	0.703
Numbers 27	27.2	9.07	0.333
Numbers 28	16.6	13	0.782
Numbers 29	18.1	14.5	0.797
Numbers 30	21	7.6	0.362
Numbers 31	21.5	7.61	0.353
Numbers 32	23.8	5.49	0.231
Numbers 33	22.8	3.03	0.133
Numbers 34	19.6	5.56	0.284
Numbers 35	23.5	5.44	0.232
Numbers 36	22.9	19.1	0.833
Deuteronomy 1	25.9	2.32	0.0894
Deuteronomy 2	24.3	3.26	0.134
