chapter	word	verb_f	proper_f
Genesis 1	670	16	0
Genesis 2	494	14.2	4.25
Genesis 3	497	19.7	2.41
Genesis 4	450	21.6	14.7
Genesis 5	481	16.2	11
Genesis 6	434	13.8	3.46
Genesis 7	505	9.11	3.56
Genesis 8	489	13.9	2.25
Genesis 9	499	14.8	5.01
Genesis 10	426	6.1	26.1
Genesis 11	516	17.1	15.1
Genesis 12	379	18.5	9.5
Genesis 13	343	14.6	11.4
Genesis 14	458	12.7	17.5
Genesis 15	361	18.3	6.65
Genesis 16	291	18.6	15.1
Genesis 17	477	14.7	6.29
Genesis 18	619	23.1	7.11
Genesis 19	819	19.9	4.88
Genesis 20	375	18.1	7.73
Genesis 21	593	19.1	9.11
Genesis 22	510	16.9	10.4
Genesis 23	372	16.7	11.8
Genesis 24	1309	20.6	5.5
Genesis 25	550	13.3	19.1
Genesis 26	653	20.1	9.19
Genesis 27	863	22.6	7.18
Genesis 28	442	18.8	10.6
Genesis 29	641	19.2	10.1
Genesis 30	783	20.8	8.81
Genesis 31	1045	18.5	6.79
Genesis 32	643	18.7	6.22
Genesis 33	374	18.7	7.22
Genesis 34	590	19.2	7.63
Genesis 35	504	17.7	15.5
Genesis 36	613	6.69	32.6
Genesis 37	675	22.4	5.48
Genesis 38	570	23.9	7.89
Genesis 39	495	20	4.24
Genesis 40	436	15.4	2.98
Genesis 41	1073	15.5	5.22
Genesis 42	705	21	4.54
Genesis 43	692	20.8	3.61
Genesis 44	618	20.6	1.46
Genesis 45	538	18.8	6.69
Genesis 46	560	11.4	24.8
Genesis 47	737	14.8	6.65
Genesis 48	480	17.9	11.7
Genesis 49	481	17.9	8.73
Genesis 50	501	19.8	8.98
Exodus 1	347	19.3	9.51
Exodus 2	508	22.6	4.72
Exodus 3	542	18.5	9.04
Exodus 4	634	21.9	8.68
Exodus 5	438	24.4	5.25
Exodus 6	535	11.2	22.1
Exodus 7	598	18.1	11
Exodus 8	626	17.6	8.47
Exodus 9	757	15.2	7.53
Exodus 10	663	18.7	7.54
Exodus 11	235	13.6	9.79
Exodus 12	1075	14.6	6.51
Exodus 13	469	15.8	6.82
Exodus 14	676	17.2	10.8
Exodus 15	426	24.2	8.69
Exodus 16	768	17.6	8.46
Exodus 17	352	18.2	14.8
Exodus 18	572	17.8	8.57
Exodus 19	537	20.3	8.75
Exodus 20	417	16.1	3.6
Exodus 21	595	22.2	0
Exodus 22	449	23.8	0.668
Exodus 23	538	21	0.929
Exodus 24	372	15.9	11.3
Exodus 25	629	11.3	0.636
Exodus 26	731	9.71	0
Exodus 27	373	8.58	1.07
Exodus 28	819	12.9	4.27
Exodus 29	973	11.8	3.6
Exodus 30	642	15.7	4.05
Exodus 31	342	12.3	5.85
Exodus 32	759	20.7	7.38
Exodus 33	493	20.9	5.48
Exodus 34	730	17.4	6.3
Exodus 35	658	9.57	4.56
Exodus 36	760	11.6	1.71
Exodus 37	511	9.78	0.196
Exodus 38	614	6.68	1.95
Exodus 39	803	9.84	3.86
Exodus 40	645	14.7	4.96
Leviticus 1	362	11	4.14
Leviticus 2	280	13.2	5
Leviticus 3	354	8.19	3.95
Leviticus 4	776	13.1	2.58
Leviticus 5	600	17.8	2.33
Leviticus 6	426	16	4.46
Leviticus 7	710	13.4	4.65
Leviticus 8	836	12.2	6.7
Leviticus 9	500	14.2	6
Leviticus 10	459	15.9	10.5
Leviticus 11	861	13.1	0.813
Leviticus 12	163	16.6	2.45
Leviticus 13	1329	12.3	0.301
Leviticus 14	1292	12.4	1.16
Leviticus 15	657	19.6	1.22
Leviticus 16	823	13.5	4.13
Leviticus 17	383	14.9	4.96
Leviticus 18	430	16.3	2.79
Leviticus 19	568	18.8	4.58
Leviticus 20	571	19.6	2.28
Leviticus 21	389	16.7	4.11
Leviticus 22	585	16.4	5.98
Leviticus 23	830	11.3	6.02
Leviticus 24	384	16.4	7.29
Leviticus 25	978	16.5	1.64
Leviticus 26	812	21.2	1.72
Leviticus 27	645	14.4	3.57
Numbers 1	816	8.58	11
Numbers 2	484	8.06	13
Numbers 3	860	8.49	11.5
Numbers 4	951	10.9	5.26
Numbers 5	671	17.7	3.28
Numbers 6	489	14.5	4.29
Numbers 7	1359	3.83	5.52
Numbers 8	502	15.1	9.36
Numbers 9	515	15	7.38
Numbers 10	527	15.7	12.3
Numbers 11	785	18	6.5
Numbers 12	273	19	11.7
Numbers 13	547	12.8	13.7
Numbers 14	897	16.7	6.91
Numbers 15	738	14.9	6.1
Numbers 16	681	16.4	10.7
Numbers 17	556	16.9	10.3
Numbers 18	704	12.1	5.4
Numbers 19	524	15.5	2.29
Numbers 20	587	17.5	12.4
Numbers 21	680	17.2	14.1
Numbers 22	870	21.3	10.5
Numbers 23	518	24.1	11.4
Numbers 24	412	24.3	10.2
Numbers 25	318	15.1	13.8
Numbers 26	961	6.66	18.8
Numbers 27	440	14.3	11.8
Numbers 28	524	8.21	3.05
Numbers 29	673	3.27	1.04
Numbers 30	329	21.3	4.26
Numbers 31	1001	10.1	8.29
Numbers 32	779	14.4	15
Numbers 33	726	18.3	17.2
Numbers 34	413	11.4	17.4
Numbers 35	693	19.9	2.45
Numbers 36	288	12.5	13.9
Deuteronomy 1	948	18.8	6.96
Deuteronomy 2	731	18.5	9.85
Deuteronomy 3	669	11.7	11.2
Deuteronomy 4	1151	14.6	5.91
Deuteronomy 5	647	17.3	4.64
Deuteronomy 6	454	18.1	7.05
Deuteronomy 7	576	19.1	3.99
Deuteronomy 8	401	20	3.49
Deuteronomy 9	715	19	7.41
Deuteronomy 10	472	15.5	6.99
Deuteronomy 11	713	15.8	4.91
Deuteronomy 12	710	16.2	3.8
Deuteronomy 13	455	20.2	3.08
Deuteronomy 14	515	12.4	2.14
Deuteronomy 15	472	18.9	3.39
Deuteronomy 16	468	15.4	5.77
Deuteronomy 17	514	17.3	2.92
Deuteronomy 18	417	17.7	5.52
Deuteronomy 19	467	20.1	2.14
Deuteronomy 20	446	21.7	2.02
Deuteronomy 21	495	20.8	2.22
Deuteronomy 22	605	19.7	0.661
Deuteronomy 23	438	19.4	5.48
Deuteronomy 24	460	20.4	2.61
Deuteronomy 25	359	22.8	2.79
Deuteronomy 26	495	17	4.65
Deuteronomy 27	444	20	7.88
Deuteronomy 28	1422	18.3	3.38
Deuteronomy 29	640	13.9	5.78
Deuteronomy 30	485	17.7	4.54
Deuteronomy 31	782	19.1	6.52
Deuteronomy 32	781	19.7	4.48
Deuteronomy 33	456	18.6	10.3
Deuteronomy 34	245	9.8	17.1
Joshua 1	430	20.7	7.91
Joshua 2	581	19.4	3.96
Joshua 3	442	17.6	7.47
Joshua 4	549	15.8	11.3
Joshua 5	414	16.4	8.94
Joshua 6	715	17.6	5.45
Joshua 7	704	17.3	10.5
Joshua 8	939	16.7	8.52
Joshua 9	606	17.3	6.77
Joshua 10	1078	16.2	13
Joshua 11	577	12.7	12.5
Joshua 12	349	3.15	21.2
Joshua 13	634	6.94	19.6
Joshua 14	390	11	12.6
Joshua 15	791	7.59	25.4
Joshua 16	176	12.5	18.2
Joshua 17	488	11.3	16.6
Joshua 18	558	12	15.1
Joshua 19	718	8.08	23.1
Joshua 20	261	14.9	8.81
Joshua 21	839	5.48	14.1
Joshua 22	958	12.2	13
Joshua 23	436	17.2	5.28
Joshua 24	819	15.9	11
Judges 1	751	17.7	13.2
Judges 2	508	20.9	9.06
Judges 3	670	16.6	11.8
Judges 4	568	17.1	16.2
Judges 5	460	22.4	13.9
Judges 6	969	17.3	8.77
Judges 7	731	16.7	9.44
Judges 8	731	16	12
Judges 9	1216	18.9	9.13
Judges 10	373	15.5	14.7
Judges 11	906	18.2	14.3
Judges 12	308	18.5	15.6
Judges 13	546	19.6	7.88
Judges 14	498	20.7	3.82
Judges 15	456	22.8	4.61
Judges 16	794	21.8	4.79
Judges 17	289	18	7.61
Judges 18	789	16.9	6.08
Judges 19	797	20.3	3.39
Judges 20	1100	16.4	10.6
Judges 21	539	18.2	10.4
I_Samuel 1	575	19	11
I_Samuel 2	752	19.7	6.52
I_Samuel 3	403	24.3	14.4
I_Samuel 4	546	19.2	7.33
I_Samuel 5	299	17.4	9.7
I_Samuel 6	550	16.2	5.82
I_Samuel 7	408	17.2	16.4
I_Samuel 8	397	19.4	6.05
I_Samuel 9	718	19.2	7.1
I_Samuel 10	628	20.2	7.17
I_Samuel 11	368	19.3	11.1
I_Samuel 12	573	18.2	9.77
I_Samuel 13	522	16.1	12.5
I_Samuel 14	1215	18.3	9.63
I_Samuel 15	732	19.4	15.3
I_Samuel 16	510	23.1	12.4
I_Samuel 17	1364	17.5	7.92
I_Samuel 18	654	18.7	13.1
I_Samuel 19	577	20.8	13.3
I_Samuel 20	939	19.2	8.63
I_Samuel 21	389	16.5	7.97
I_Samuel 22	574	17.8	9.58
I_Samuel 23	634	21.6	15.6
I_Samuel 24	513	19.9	9.55
I_Samuel 25	1063	18.6	8.28
I_Samuel 26	648	18.2	12.3
I_Samuel 27	294	16	13.3
I_Samuel 28	622	20.7	8.36
I_Samuel 29	309	16.2	6.8
I_Samuel 30	736	16	8.56
I_Samuel 31	286	20.3	9.44
II_Samuel 1	493	20.1	9.13
II_Samuel 2	722	16.1	15.5
II_Samuel 3	910	17.1	14.8
II_Samuel 4	329	17.9	13.1
II_Samuel 5	489	17.8	16.6
II_Samuel 6	533	14.3	13.7
