verse	word	verb	proper	masc	fem	unknown
GEN 01,01	11	1	0	0	0	0
GEN 01,02	20	2	0	0	0	0
GEN 01,03	8	3	0	0	0	0
GEN 01,04	18	3	0	0	0	0
GEN 01,05	21	4	0	0	0	0
GEN 01,06	16	4	0	0	0	0
GEN 01,07	29	3	0	0	0	0
GEN 01,08	15	3	0	0	0	0
GEN 01,09	20	4	0	0	0	0
GEN 01,10	19	4	0	0	0	0
GEN 01,11	25	5	0	0	0	0
GEN 01,12	24	5	0	0	0	0
GEN 01,13	8	2	0	0	0	0
GEN 01,14	30	4	0	0	0	0
GEN 01,15	16	3	0	0	0	0
GEN 01,16	32	1	0	0	0	0
GEN 01,17	13	2	0	0	0	0
GEN 01,18	25	4	0	0	0	0
GEN 01,19	8	2	0	0	0	0
GEN 01,20	20	3	0	0	0	0
GEN 01,21	34	5	0	0	0	0
GEN 01,22	22	6	0	0	0	0
GEN 01,23	8	2	0	0	0	0
GEN 01,24	21	3	0	0	0	0
GEN 01,25	28	3	0	0	0	0
GEN 01,26	39	4	0	0	0	0
GEN 01,27	18	3	0	0	0	0
GEN 01,28	38	8	0	0	0	0
GEN 01,29	32	5	0	0	0	0
GEN 01,30	32	2	0	0	0	0
GEN 01,31	20	4	0	0	0	0
GEN 02,01	10	1	0	0	0	0
GEN 02,02	23	4	0	0	0	0
GEN 02,03	21	5	0	0	0	0
GEN 02,04	17	2	1	1	0	0
GEN 02,05	33	4	1	1	0	0
GEN 02,06	13	2	0	0	0	0
GEN 02,07	24	3	1	1	0	0
GEN 02,08	17	3	2	1	0	1
GEN 02,09	31	2	1	1	0	0
GEN 02,10	19	4	1	0	0	1
GEN 02,11	16	1	2	0	0	2
GEN 02,12	14	0	0	0	0	0
GEN 02,13	14	1	2	0	0	2
GEN 02,14	19	1	3	0	0	3
GEN 02,15	17	4	2	1	0	1
GEN 02,16	16	4	1	1	0	0
GEN 02,17	18	4	0	0	0	0
GEN 02,18	16	3	1	1	0	0
GEN 02,19	38	5	1	1	0	0
GEN 02,20	28	2	0	0	0	0
GEN 02,21	19	4	1	1	0	0
GEN 02,22	19	3	1	1	0	0
GEN 02,23	23	3	0	0	0	0
GEN 02,24	18	3	0	0	0	0
GEN 02,25	11	2	0	0	0	0
GEN 03,01	30	5	1	1	0	0
GEN 03,02	13	2	0	0	0	0
GEN 03,03	21	4	0	0	0	0
GEN 03,04	10	3	0	0	0	0
GEN 03,05	19	5	0	0	0	0
GEN 03,06	37	7	0	0	0	0
GEN 03,07	17	4	0	0	0	0
GEN 03,08	29	3	2	2	0	0
GEN 03,09	11	2	1	1	0	0
GEN 03,10	14	4	0	0	0	0
GEN 03,11	19	5	0	0	0	0
GEN 03,12	17	4	0	0	0	0
GEN 03,13	18	5	1	1	0	0
GEN 03,14	31	5	1	1	0	0
GEN 03,15	21	3	0	0	0	0
GEN 03,16	21	5	0	0	0	0
GEN 03,17	32	8	0	0	0	0
GEN 03,18	12	2	0	0	0	0
GEN 03,19	20	4	0	0	0	0
GEN 03,20	13	2	1	0	1	0
GEN 03,21	13	2	1	1	0	0
GEN 03,22	34	7	1	1	0	0
GEN 03,23	16	3	2	1	0	1
GEN 03,24	29	4	1	0	0	1
GEN 04,01	19	5	3	2	1	0
GEN 04,02	18	6	3	3	0	0
GEN 04,03	15	2	2	2	0	0
GEN 04,04	19	2	3	3	0	0
GEN 04,05	16	3	2	2	0	0
GEN 04,06	12	3	2	2	0	0
GEN 04,07	21	4	0	0	0	0
GEN 04,08	20	5	4	4	0	0
GEN 04,09	16	4	3	3	0	0
GEN 04,10	12	3	0	0	0	0
GEN 04,11	18	3	0	0	0	0
GEN 04,12	16	6	0	0	0	0
GEN 04,13	9	2	2	2	0	0
GEN 04,14	26	8	0	0	0	0
GEN 04,15	22	6	4	4	0	0
GEN 04,16	14	2	4	2	0	2
GEN 04,17	24	6	3	2	0	1
GEN 04,18	21	4	8	8	0	0
GEN 04,19	15	1	3	1	2	0
GEN 04,20	12	3	2	1	1	0
GEN 04,21	12	2	1	1	0	0
GEN 04,22	17	3	4	2	2	0
GEN 04,23	23	4	4	2	2	0
GEN 04,24	9	1	2	2	0	0
GEN 04,25	25	5	4	4	0	0
GEN 04,26	19	4	3	3	0	0
GEN 05,01	14	2	1	1	0	0
GEN 05,02	15	4	0	0	0	0
GEN 05,03	18	3	2	2	0	0
GEN 05,04	16	3	2	2	0	0
GEN 05,05	15	3	1	1	0	0
GEN 05,06	12	2	2	2	0	0
GEN 05,07	18	3	2	2	0	0
GEN 05,08	14	2	1	1	0	0
GEN 05,09	9	2	2	2	0	0
GEN 05,10	19	3	2	2	0	0
GEN 05,11	13	2	1	1	0	0
GEN 05,12	9	2	2	2	0	0
GEN 05,13	18	3	2	2	0	0
GEN 05,14	13	2	1	1	0	0
GEN 05,15	12	2	2	2	0	0
GEN 05,16	18	3	2	2	0	0
GEN 05,17	15	2	1	1	0	0
GEN 05,18	14	2	2	2	0	0
GEN 05,19	15	3	2	2	0	0
GEN 05,20	15	2	1	1	0	0
GEN 05,21	11	2	2	2	0	0
GEN 05,22	18	3	2	2	0	0
GEN 05,23	13	1	1	1	0	0
GEN 05,24	12	2	1	1	0	0
GEN 05,25	14	2	2	2	0	0
GEN 05,26	20	3	2	2	0	0
GEN 05,27	15	2	1	1	0	0
GEN 05,28	13	2	1	1	0	0
GEN 05,29	21	4	2	2	0	0
GEN 05,30	20	3	2	2	0	0
GEN 05,31	15	2	1	1	0	0
GEN 05,32	17	2	5	4	0	1
GEN 06,01	16	4	0	0	0	0
GEN 06,02	20	3	0	0	0	0
GEN 06,03	23	3	1	1	0	0
GEN 06,04	36	3	0	0	0	0
GEN 06,05	21	1	1	1	0	0
GEN 06,06	14	3	1	1	0	0
GEN 06,07	29	5	1	1	0	0
GEN 06,08	7	1	2	2	0	0
GEN 06,09	15	2	3	3	0	0
GEN 06,10	12	1	4	3	0	1
GEN 06,11	13	2	0	0	0	0
GEN 06,12	18	3	0	0	0	0
GEN 06,13	24	4	1	1	0	0
GEN 06,14	20	3	0	0	0	0
GEN 06,15	18	1	0	0	0	0
GEN 06,16	23	4	0	0	0	0
GEN 06,17	29	3	0	0	0	0
GEN 06,18	19	2	0	0	0	0
GEN 06,19	22	3	0	0	0	0
GEN 06,20	25	2	0	0	0	0
GEN 06,21	19	4	0	0	0	0
GEN 06,22	11	3	1	1	0	0
GEN 07,01	24	3	2	2	0	0
GEN 07,02	25	1	0	0	0	0
GEN 07,03	18	1	0	0	0	0
GEN 07,04	28	3	0	0	0	0
GEN 07,05	8	2	2	2	0	0
GEN 07,06	14	1	1	1	0	0
GEN 07,07	19	1	1	1	0	0
GEN 07,08	23	1	0	0	0	0
GEN 07,09	17	2	2	2	0	0
GEN 07,10	14	2	0	0	0	0
GEN 07,11	35	2	1	1	0	0
GEN 07,12	12	1	0	0	0	0
GEN 07,13	27	1	6	5	0	1
GEN 07,14	34	1	0	0	0	0
GEN 07,15	17	1	1	1	0	0
GEN 07,16	19	4	1	1	0	0
GEN 07,17	24	4	0	0	0	0
GEN 07,18	18	3	0	0	0	0
GEN 07,19	21	2	0	0	0	0
GEN 07,20	13	2	0	0	0	0
GEN 07,21	34	3	0	0	0	0
GEN 07,22	14	1	0	0	0	0
GEN 07,23	36	3	1	1	0	0
GEN 07,24	11	1	0	0	0	0
GEN 08,01	30	3	1	1	0	0
GEN 08,02	15	2	0	0	0	0
GEN 08,03	21	4	0	0	0	0
GEN 08,04	19	1	1	0	0	1
GEN 08,05	24	4	0	0	0	0
GEN 08,06	15	3	1	1	0	0
GEN 08,07	18	5	0	0	0	0
GEN 08,08	18	3	0	0	0	0
GEN 08,09	34	5	0	0	0	0
GEN 08,10	15	3	0	0	0	0
GEN 08,11	26	3	1	1	0	0
GEN 08,12	17	4	0	0	0	0
GEN 08,13	38	5	1	1	0	0
GEN 08,14	17	1	0	0	0	0
GEN 08,15	7	2	1	1	0	0
GEN 08,16	13	1	0	0	0	0
GEN 08,17	38	5	0	0	0	0
GEN 08,18	11	1	1	1	0	0
GEN 08,19	21	2	0	0	0	0
